Year,MAPE,algo,cov,algocov,day,resolution
2014,0.20104072777409351,DeepAR,SARI+AGE,DeepAR_SARI+AGE,6,D
2014,0.185762835485373,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,6,D
2014,0.13056557262827456,Chronos,SARI,Chronos_SARI,6,D
2014,0.16816191421774931,AutoML,SARI,AutoML_SARI,6,D
2015,0.1314500897015553,TFT,SARI,TFT_SARI,6,D
2015,0.21749705971559624,TFT,SARI+LC,TFT_SARI+LC,6,D
2015,0.15662630079666193,TFT,SARI+AGE,TFT_SARI+AGE,6,D
2015,0.2235803276013941,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,6,D
2015,0.19910310550114807,DeepAR,SARI,DeepAR_SARI,6,D
2015,0.20294072954445952,DeepAR,SARI+LC,DeepAR_SARI+LC,6,D
2015,0.22800360080465276,DeepAR,SARI+AGE,DeepAR_SARI+AGE,6,D
2015,0.19293875821403988,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,6,D
2015,0.1359489398588921,Chronos,SARI,Chronos_SARI,6,D
2015,0.15649080618409342,AutoML,SARI,AutoML_SARI,6,D
2016,0.17943480518910876,TFT,SARI,TFT_SARI,6,D
2016,0.16600315315775158,TFT,SARI+LC,TFT_SARI+LC,6,D
2016,0.17789129658874825,TFT,SARI+AGE,TFT_SARI+AGE,6,D
2016,0.17166269362718303,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,6,D
2016,0.17457531831377807,DeepAR,SARI,DeepAR_SARI,6,D
2016,0.16133626211412913,DeepAR,SARI+LC,DeepAR_SARI+LC,6,D
2016,0.14628526462778307,DeepAR,SARI+AGE,DeepAR_SARI+AGE,6,D
2016,0.1565817308009148,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,6,D
2016,0.1748181198464548,Chronos,SARI,Chronos_SARI,6,D
2016,0.18954932364437457,AutoML,SARI,AutoML_SARI,6,D
2017,0.13509480834670942,TFT,SARI,TFT_SARI,6,D
2017,0.1462313149643198,TFT,SARI+LC,TFT_SARI+LC,6,D
2017,0.1377713671703811,TFT,SARI+AGE,TFT_SARI+AGE,6,D
2017,0.16600002649435328,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,6,D
2017,0.16536556343007977,DeepAR,SARI,DeepAR_SARI,6,D
2017,0.16993637139163176,DeepAR,SARI+LC,DeepAR_SARI+LC,6,D
2017,0.17785832980799382,DeepAR,SARI+AGE,DeepAR_SARI+AGE,6,D
2017,0.18119962713909837,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,6,D
2017,0.14064957804793082,Chronos,SARI,Chronos_SARI,6,D
2017,0.17556912191891347,AutoML,SARI,AutoML_SARI,6,D
2018,0.12780336412077448,TFT,SARI,TFT_SARI,6,D
2018,0.14070544822803918,TFT,SARI+LC,TFT_SARI+LC,6,D
2018,0.12047130604482148,TFT,SARI+AGE,TFT_SARI+AGE,6,D
2018,0.14219287108496845,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,6,D
2018,0.1447934952717184,DeepAR,SARI,DeepAR_SARI,6,D
